star 30 red 1988919999999999913189181489152.000000 1153.183649 26.357254 0.006231 0.000211 
6510000.0 star red 1.98892e+30 329105.31600079645 150801.01801605633 0.08637453757874916 0.06546499378622042
6510000.0 planet green 5.974e+24 40031177586.15613 143531513499.74976 -28756.61956496911 7964.7814795297
6790000.0 star red 1.98892e+30 353479.45947333303 169861.30499840813 0.08759393456397763 0.07034320024920127
6790000.0 planet green 5.974e+24 31916309585.58738 145518584342.57877 -29162.59262353297 6340.683321117939
680000.0 star red 1.98892e+30 4234.36487995786 189.6192083574935 0.012081637230409208 0.0008065275295344603
680000.0 planet green 5.974e+24 148190255608.12753 20173670198.211197 -4022.331757667473 29491.483305316102
970000.0 star red 1.98892e+30 8529.783076985885 546.5581990332171 0.017182321226472504 0.0016462590402825628
970000.0 planet green 5.974e+24 146760184774.44275 28685234728.28574 -5720.499218907884 29211.91203039861
1200000.0 star red 1.98892e+30 12983.301155137362 1031.0132051304677 0.021188999978438393 0.002520889451679039
1200000.0 planet green 5.974e+24 145277477848.43057 35368745432.884514 -7054.44021377899 28920.721886803924
1410000.0 star red 1.98892e+30 17850.049010226685 1667.9472463346979 0.024809620412677383 0.0034790989603532634
1410000.0 planet green 5.974e+24 143657194597.01703 41406291389.82595 -8259.85105978947 28601.705807796163
1580000.0 star red 1.98892e+30 22343.616511537537 2342.193923281592 0.02770978381247149 0.004365289732331565
1580000.0 planet green 5.974e+24 142161154042.16147 46241014874.808685 -9225.400606009503 28306.666880745095
2960000.0 star red 1.98892e+30 76392.04703325198 15158.071037024833 0.04981535200286428 0.015070461978018037
2960000.0 planet green 5.974e+24 124166844629.16376 83043033102.28342 -16584.99328850633 24742.60073027794
